time_s,time_ns,time_ps,p_left,p_right,population_imbalance,omega_rad_s,tau_p_s
3.3508224492380506e-09,3.3508224492380507,3350.8224492380505,0.9996445586428775,0.00035544135712256564,-0.999289117285755,11253517.47192591,2.7916539530214507e-07
3.490440051289636e-09,3.490440051289636,3490.440051289636,0.9996143253319112,0.0003856746680887535,-0.9992286506638224,11253517.47192591,2.7916539530214507e-07
3.6300576533412214e-09,3.6300576533412214,3630.0576533412213,0.9995828586556571,0.0004171413443428973,-0.9991657173113142,11253517.47192591,2.7916539530214507e-07
3.769675255392807e-09,3.7696752553928072,3769.6752553928072,0.9995501586917948,0.000449841308205301,-0.9991003173835895,11253517.47192591,2.7916539530214507e-07
3.909292857444393e-09,3.9092928574443926,3909.2928574443927,0.9995162255210482,0.0004837744789517595,-0.9990324510420965,11253517.47192591,2.7916539530214507e-07
4.048910459495978e-09,4.048910459495978,4048.910459495978,0.9994810592271864,0.0005189407728135587,-0.9989621184543729,11253517.47192591,2.7916539530214507e-07
4.188528061547563e-09,4.188528061547563,4188.528061547563,0.9994446598970219,0.0005553401029780303,-0.9988893197940438,11253517.47192591,2.7916539530214507e-07
4.328145663599149e-09,4.328145663599149,4328.145663599149,0.9994070276204114,0.0005929723795884967,-0.9988140552408229,11253517.47192591,2.7916539530214507e-07
4.467763265650734e-09,4.467763265650734,4467.763265650734,0.9993681624902554,0.0006318375097446038,-0.9987363249805108,11253517.47192591,2.7916539530214507e-07
4.6073808677023195e-09,4.60738086770232,4607.38086770232,0.9993280646024973,0.0006719353975025988,-0.9986561292049947,11253517.47192591,2.7916539530214507e-07
4.746998469753905e-09,4.746998469753905,4746.998469753905,0.9992867340561247,0.0007132659438753297,-0.9985734681122493,11253517.47192591,2.7916539530214507e-07
4.88661607180549e-09,4.8866160718054905,4886.616071805491,0.9992441709531671,0.0007558290468329121,-0.9984883419063342,11253517.47192591,2.7916539530214507e-07
5.026233673857076e-09,5.026233673857075,5026.233673857076,0.9992003753986975,0.0007996246013025066,-0.9984007507973951,11253517.47192591,2.7916539530214507e-07
5.165851275908661e-09,5.165851275908661,5165.851275908661,0.999155347500831,0.0008446524991689297,-0.998310695001662,11253517.47192591,2.7916539530214507e-07
5.3054688779602465e-09,5.305468877960246,5305.468877960247,0.9991090873707253,0.0008909126292746539,-0.9982181747414507,11253517.47192591,2.7916539530214507e-07
5.445086480011832e-09,5.445086480011832,5445.086480011832,0.9990615951225796,0.0009384048774204179,-0.9981231902451593,11253517.47192591,2.7916539530214507e-07
5.584704082063417e-09,5.584704082063417,5584.704082063417,0.9990128708736348,0.0009871291263651716,-0.9980257417472695,11253517.47192591,2.7916539530214507e-07
5.7243216841150035e-09,5.7243216841150035,5724.321684115003,0.9989629147441734,0.0010370852558265753,-0.9979258294883468,11253517.47192591,2.7916539530214507e-07
5.863939286166589e-09,5.863939286166589,5863.939286166589,0.998911726857519,0.001088273142481111,-0.9978234537150379,11253517.47192591,2.7916539530214507e-07
6.003556888218174e-09,6.003556888218174,6003.556888218174,0.9988593073400354,0.0011406926599646372,-0.9977186146800707,11253517.47192591,2.7916539530214507e-07
6.14317449026976e-09,6.14317449026976,6143.17449026976,0.9988056563211275,0.0011943436788725004,-0.997611312642255,11253517.47192591,2.7916539530214507e-07
6.282792092321345e-09,6.282792092321345,6282.792092321345,0.9987507739332401,0.001249226066759923,-0.9975015478664802,11253517.47192591,2.7916539530214507e-07
6.4224096943729304e-09,6.422409694372931,6422.40969437293,0.9986946603118576,0.0013053396881423929,-0.9973893206237152,11253517.47192591,2.7916539530214507e-07
6.562027296424516e-09,6.562027296424516,6562.027296424516,0.9986373155955042,0.001362684404495773,-0.9972746311910083,11253517.47192591,2.7916539530214507e-07
6.701644898476101e-09,6.7016448984761015,6701.644898476101,0.9985787399257431,0.0014212600742569692,-0.9971574798514862,11253517.47192591,2.7916539530214507e-07
6.841262500527687e-09,6.841262500527686,6841.262500527687,0.998518933447176,0.0014810665528240397,-0.997037866894352,11253517.47192591,2.7916539530214507e-07
6.980880102579272e-09,6.980880102579272,6980.880102579272,0.9984578963074434,0.0015421036925565845,-0.9969157926148868,11253517.47192591,2.7916539530214507e-07
7.120497704630857e-09,7.120497704630857,7120.497704630858,0.9983956286572238,0.0016043713427763007,-0.9967912573144475,11253517.47192591,2.7916539530214507e-07
7.260115306682443e-09,7.260115306682443,7260.115306682443,0.9983321306502331,0.0016678693497669816,-0.9966642613004661,11253517.47192591,2.7916539530214507e-07
7.399732908734028e-09,7.399732908734028,7399.732908734029,0.9982674024432246,0.0017325975567753504,-0.9965348048864493,11253517.47192591,2.7916539530214507e-07
7.539350510785614e-09,7.5393505107856145,7539.3505107856145,0.998201444195989,0.0017985558040110594,-0.996402888391978,11253517.47192591,2.7916539530214507e-07
7.6789681128372e-09,7.678968112837199,7678.968112837199,0.9981342560713528,0.0018657439286472455,-0.9962685121427055,11253517.47192591,2.7916539530214507e-07
7.818585714888785e-09,7.818585714888785,7818.585714888785,0.998065838235179,0.0019341617648210296,-0.996131676470358,11253517.47192591,2.7916539530214507e-07
7.95820331694037e-09,7.958203316940371,7958.20331694037,0.9979961908563663,0.002003809143633739,-0.9959923817127325,11253517.47192591,2.7916539530214507e-07
8.097820918991956e-09,8.097820918991957,8097.820918991956,0.9979253141068485,0.0020746858931514622,-0.995850628213697,11253517.47192591,2.7916539530214507e-07
8.237438521043541e-09,8.237438521043542,8237.438521043541,0.9978532081615947,0.0021467918384053264,-0.9957064163231895,11253517.47192591,2.7916539530214507e-07
8.377056123095127e-09,8.377056123095127,8377.056123095126,0.9977798731986078,0.002220126801392164,-0.9955597463972157,11253517.47192591,2.7916539530214507e-07
8.516673725146712e-09,8.516673725146712,8516.673725146713,0.9977053093989253,0.002294690601074678,-0.9954106187978506,11253517.47192591,2.7916539530214507e-07
8.656291327198298e-09,8.656291327198298,8656.291327198298,0.9976295169466178,0.002370483053382111,-0.9952590338932357,11253517.47192591,2.7916539530214507e-07
8.795908929249883e-09,8.795908929249883,8795.908929249883,0.9975524960287894,0.002447503971210574,-0.9951049920575787,11253517.47192591,2.7916539530214507e-07
8.935526531301468e-09,8.935526531301468,8935.526531301468,0.9974742468355764,0.00252575316442355,-0.9949484936711528,11253517.47192591,2.7916539530214507e-07
9.075144133353054e-09,9.075144133353053,9075.144133353053,0.9973947695601477,0.002605230439852335,-0.9947895391202954,11253517.47192591,2.7916539530214507e-07
9.214761735404639e-09,9.21476173540464,9214.76173540464,0.9973140643987033,0.0026859356012966518,-0.9946281287974066,11253517.47192591,2.7916539530214507e-07
9.354379337456224e-09,9.354379337456225,9354.379337456225,0.9972321315504752,0.002767868449524813,-0.9944642631009504,11253517.47192591,2.7916539530214507e-07
9.49399693950781e-09,9.49399693950781,9493.99693950781,0.9971489712177253,0.002851028782274667,-0.9942979424354506,11253517.47192591,2.7916539530214507e-07
9.633614541559395e-09,9.633614541559396,9633.614541559395,0.9970645836057463,0.0029354163942535982,-0.9941291672114927,11253517.47192591,2.7916539530214507e-07
9.77323214361098e-09,9.773232143610981,9773.232143610981,0.9969789689228605,0.0030210310771395243,-0.9939579378457211,11253517.47192591,2.7916539530214507e-07
9.912849745662566e-09,9.912849745662566,9912.849745662566,0.996892127380419,0.003107872619581009,-0.993784254760838,11253517.47192591,2.7916539530214507e-07
1.0052467347714151e-08,10.05246734771415,10052.467347714151,0.996804059192802,0.003195940807198039,-0.993608118385604,11253517.47192591,2.7916539530214507e-07
1.0192084949765737e-08,10.192084949765738,10192.084949765736,0.9967147645774177,0.0032852354225823555,-0.9934295291548354,11253517.47192591,2.7916539530214507e-07
1.0331702551817322e-08,10.331702551817322,10331.702551817321,0.9966242437547017,0.0033757562452982337,-0.9932484875094034,11253517.47192591,2.7916539530214507e-07
1.0471320153868908e-08,10.471320153868907,10471.320153868908,0.9965324969481172,0.0034675030518828143,-0.9930649938962344,11253517.47192591,2.7916539530214507e-07
1.0610937755920493e-08,10.610937755920492,10610.937755920493,0.9964395243841533,0.0035604756158467143,-0.9928790487683066,11253517.47192591,2.7916539530214507e-07
1.0750555357972078e-08,10.750555357972079,10750.555357972078,0.9963453262923254,0.0036546737076746383,-0.9926906525846508,11253517.47192591,2.7916539530214507e-07
1.0890172960023664e-08,10.890172960023664,10890.172960023663,0.9962499029051741,0.003750097094825877,-0.9924998058103482,11253517.47192591,2.7916539530214507e-07
1.1029790562075249e-08,11.029790562075249,11029.79056207525,0.996153254458265,0.0038467455417350305,-0.9923065089165299,11253517.47192591,2.7916539530214507e-07
1.1169408164126835e-08,11.169408164126834,11169.408164126835,0.9960553811901878,0.003944618809812284,-0.9921107623803755,11253517.47192591,2.7916539530214507e-07
1.1309025766178422e-08,11.309025766178422,11309.025766178422,0.9959562833425556,0.004043716657444407,-0.9919125666851112,11253517.47192591,2.7916539530214507e-07
1.1448643368230007e-08,11.448643368230007,11448.643368230007,0.9958559611600051,0.004144038839994868,-0.9917119223200102,11253517.47192591,2.7916539530214507e-07
1.1588260970281592e-08,11.588260970281592,11588.260970281592,0.9957544148901951,0.004245585109804884,-0.9915088297803902,11253517.47192591,2.7916539530214507e-07
1.1727878572333178e-08,11.727878572333179,11727.878572333178,0.9956516447838062,0.0043483552161938666,-0.9913032895676124,11253517.47192591,2.7916539530214507e-07
1.1867496174384763e-08,11.867496174384764,11867.496174384763,0.99554765109454,0.004452348905459924,-0.99109530218908,11253517.47192591,2.7916539530214507e-07
1.2007113776436349e-08,12.007113776436348,12007.113776436348,0.9954424340791195,0.00455756592088058,-0.990884868158239,11253517.47192591,2.7916539530214507e-07
1.2146731378487934e-08,12.146731378487933,12146.731378487933,0.9953359939972866,0.004664006002713494,-0.9906719879945731,11253517.47192591,2.7916539530214507e-07
1.228634898053952e-08,12.28634898053952,12286.34898053952,0.9952283311118031,0.004771668888196967,-0.9904566622236062,11253517.47192591,2.7916539530214507e-07
1.2425966582591105e-08,12.425966582591105,12425.966582591105,0.9951194456884493,0.0048805543115506556,-0.9902388913768987,11253517.47192591,2.7916539530214507e-07
1.256558418464269e-08,12.56558418464269,12565.58418464269,0.9950093379960238,0.004990662003976243,-0.9900186759920475,11253517.47192591,2.7916539530214507e-07
1.2705201786694275e-08,12.705201786694275,12705.201786694275,0.9948980083063419,0.005101991693658048,-0.9897960166126838,11253517.47192591,2.7916539530214507e-07
1.2844819388745861e-08,12.844819388745861,12844.81938874586,0.9947854568942363,0.0052145431057636915,-0.9895709137884725,11253517.47192591,2.7916539530214507e-07
1.2984436990797446e-08,12.984436990797446,12984.436990797447,0.9946716840375551,0.005328315962444874,-0.9893433680751103,11253517.47192591,2.7916539530214507e-07
1.3124054592849032e-08,13.124054592849031,13124.054592849032,0.9945566900171621,0.005443309982837985,-0.9891133800343241,11253517.47192591,2.7916539530214507e-07
1.3263672194900617e-08,13.263672194900616,13263.672194900617,0.9944404751169352,0.00555952488306477,-0.9888809502338705,11253517.47192591,2.7916539530214507e-07
1.3403289796952202e-08,13.403289796952203,13403.289796952202,0.9943230396237669,0.005676960376233109,-0.9886460792475338,11253517.47192591,2.7916539530214507e-07
1.3542907399003788e-08,13.542907399003788,13542.907399003789,0.9942043838275624,0.005795616172437623,-0.9884087676551248,11253517.47192591,2.7916539530214507e-07
1.3682525001055373e-08,13.682525001055373,13682.525001055374,0.9940845080212395,0.0059154919787604565,-0.988169016042479,11253517.47192591,2.7916539530214507e-07
1.3822142603106959e-08,13.82214260310696,13822.142603106959,0.9939634125007278,0.006036587499272161,-0.9879268250014557,11253517.47192591,2.7916539530214507e-07
1.3961760205158544e-08,13.961760205158544,13961.760205158544,0.9938410975649681,0.0061589024350319765,-0.9876821951299362,11253517.47192591,2.7916539530214507e-07
1.410137780721013e-08,14.10137780721013,14101.377807210129,0.9937175635159109,0.0062824364840891045,-0.9874351270318218,11253517.47192591,2.7916539530214507e-07
1.4240995409261715e-08,14.240995409261714,14240.995409261715,0.993592810658517,0.006407189341483044,-0.987185621317034,11253517.47192591,2.7916539530214507e-07
1.43806130113133e-08,14.3806130113133,14380.6130113133,0.9934668393007555,0.0065331606992445335,-0.986933678601511,11253517.47192591,2.7916539530214507e-07
1.4520230613364886e-08,14.520230613364886,14520.230613364885,0.9933396497536036,0.006660350246396385,-0.9866792995072071,11253517.47192591,2.7916539530214507e-07
1.4659848215416471e-08,14.65984821541647,14659.84821541647,0.993211242331046,0.006788757668954037,-0.9864224846620919,11253517.47192591,2.7916539530214507e-07
1.4799465817468056e-08,14.799465817468056,14799.465817468057,0.9930816173500736,0.006918382649926391,-0.9861632347001472,11253517.47192591,2.7916539530214507e-07
1.4939083419519642e-08,14.939083419519642,14939.083419519642,0.9929507751306832,0.007049224869316806,-0.9859015502613664,11253517.47192591,2.7916539530214507e-07
1.507870102157123e-08,15.078701021571229,15078.701021571229,0.9928187159958763,0.0071812840041236,-0.9856374319917527,11253517.47192591,2.7916539530214507e-07
1.5218318623622813e-08,15.218318623622812,15218.318623622812,0.9926854402716591,0.007314559728340941,-0.9853708805433181,11253517.47192591,2.7916539530214507e-07
