theta,x_p_A,y_p_A,d_A,k,xi_p,eta_p,delta,tau_s,tau_ns,tau_ps,tau_log10_s,tau_ratio,phi,phi_inv2
-0.39299999999999996,0.8762356657648571,-0.3829614272940595,0.9562679523823255,-0.43705300098664257,8.76235665764857,-3.829614272940595,9.562679523823254,0.00031852007146782865,318520.07146782865,318520071.46782863,-3.496863195501101,1140.972616334089,1.618033988749895,0.38196601125010515
-0.39199999999999996,0.8758531662835186,-0.3820374716330874,0.955547695628359,-0.4361889484902766,8.758531662835185,-3.8203747163308734,9.55547695628359,0.0003075098315058222,307509.8315058222,307509831.5058222,-3.512140994683779,1101.532771183905,1.618033988749895,0.38196601125010515
-0.391,0.8754715909489368,-0.38111313393467555,0.9548286377231113,-0.4353232450656466,8.754715909489367,-3.811131339346755,9.548286377231113,0.000296905078608357,296905.078608357,296905078.608357,-3.527382373664577,1063.5454236260623,1.618033988749895,0.38196601125010515
-0.39,0.875090940142687,-0.3801884151231614,0.9541107820969602,-0.43445589216267083,8.750909401426869,-3.801884151231614,9.541107820969602,0.00028669009258737584,286690.09258737584,286690092.5873758,-3.542587315107155,1026.9542622827112,1.618033988749895,0.38196601125010515
-0.389,0.87471121424542,-0.3792633161232639,0.9533941321843301,-0.4335868912466612,8.747112142454199,-3.792633161232639,9.533941321843301,0.0002768497899204037,276849.7899204037,276849789.92040366,-3.5577558017039497,991.7052563795195,1.618033988749895,0.38196601125010515
-0.388,0.8743324136368615,-0.37833783786008185,0.9526786914236622,-0.432716243798343,8.743324136368615,-3.783378378600818,9.526786914236622,0.00026736969696205284,267369.69696205284,267369696.96205285,-3.572887816176217,957.7465597864465,1.618033988749895,0.38196601125010515
-0.387,0.8739545386958124,-0.3774119812590935,0.9519644632573868,-0.4318439513138738,8.739545386958124,-3.7741198125909348,9.519644632573868,0.00025823592432169286,258235.92432169284,258235924.32169285,-3.587983341274035,925.0284192358444,1.618033988749895,0.38196601125010515
-0.386,0.8735775898001473,-0.3764857472461553,0.951251451131892,-0.43097001530486356,8.735775898001473,-3.7648574724615527,9.51251451131892,0.0002494351423548712,249435.1423548712,249435142.3548712,-3.603042359776371,893.5030865301327,1.618033988749895,0.38196601125010515
-0.385,0.8732015673268153,-0.37555913674750124,0.9505396584974954,-0.43009443729839275,8.732015673268153,-3.755591367475012,9.505396584974953,0.00024095455771864748,240954.55771864747,240954557.71864748,-3.618064854491064,863.1247345605232,1.618033988749895,0.38196601125010515
-0.384,0.8728264716518388,-0.3746321506897417,0.9498290888084127,-0.4292172188370319,8.728264716518387,-3.746321506897417,9.498290888084126,0.00023278189094311572,232781.89094311572,232781890.9431157,-3.633050808254888,833.8493769658386,1.618033988749895,0.38196601125010515
-0.383,0.8724523031503132,-0.37370478999986273,0.9491197455227278,-0.4283383614788599,8.724523031503132,-3.737047899998627,9.491197455227278,0.0002249053549737566,224905.3549737566,224905354.97375658,-3.64800020393357,805.6347912689465,1.618033988749895,0.38196601125010515
-0.382,0.8720790621964073,-0.3727770556052249,0.9484116321023621,-0.427457866797482,8.720790621964072,-3.7277705560522487,9.48411632102362,0.00021731363464124392,217313.63464124393,217313634.64124393,-3.6629130244218135,778.4404453354327,1.618033988749895,0.38196601125010515
-0.381,0.8717067491633618,-0.37184894843356253,0.9477047520130425,-0.4265757363820483,8.717067491633617,-3.7184894843356253,9.477047520130425,0.00020999586701734647,209995.86701734646,209995867.01734647,-3.677789252643335,752.2274270063618,1.618033988749895,0.38196601125010515
-0.38,0.8713353644234898,-0.3709204694129827,0.9469991087242707,-0.4256919718372712,8.713353644234898,-3.7092046941298267,9.469991087242708,0.0002029416226174847,202941.62261748468,202941622.6174847,-3.69262887155089,726.9583767638456,1.618033988749895,0.38196601125010515
-0.379,0.870964908348176,-0.36999161947196435,0.9462947057092909,-0.4248065747834434,8.709649083481759,-3.6999161947196435,9.462947057092908,0.00019614088741227715,196140.88741227717,196140887.41227716,-3.707431864126314,702.5974232944983,1.618033988749895,0.38196601125010515
-0.378,0.8705953813078764,-0.3690623995393574,0.9455915464450573,-0.4239195468564547,8.705953813078763,-3.6906239953935738,9.455915464450571,0.00018958404561217023,189584.04561217022,189584045.61217022,-3.7221982133805382,679.1101218221565,1.618033988749895,0.38196601125010515
-0.377,0.870226783672118,-0.36813281054438163,0.9448896344122021,-0.42303088970780955,8.70226783672118,-3.681328105443816,9.448896344122021,0.00018326186319084554,183261.86319084553,183261863.19084555,-3.7369279023536235,656.4633950869819,1.618033988749895,0.38196601125010515
-0.376,0.8698591158094986,-0.367202853416626,0.9441889730950022,-0.4221406050046435,8.698591158094985,-3.6720285341662597,9.44188973095002,0.0001771654721146838,177165.4721146838,177165472.11468378,-3.7516209141148162,634.6254768537298,1.618033988749895,0.38196601125010515
-0.375,0.8694923780876858,-0.36627252908604757,0.9434895659813459,-0.4212486944297401,8.694923780876858,-3.6627252908604757,9.434895659813458,0.0001712863552470946,171286.35524709462,171286355.2470946,-3.7662772317625404,613.5658578374612,1.618033988749895,0.38196601125010515
-0.374,0.8691265708734173,-0.3653418384829706,0.9427914165626998,-0.42035515968154685,8.691265708734171,-3.6534183848297057,9.427914165626998,0.00016561633189784514,165616.33189784514,165616331.89784515,-3.7808968384244572,593.255233939708,1.618033988749895,0.38196601125010515
-0.373,0.8687616945325004,-0.3644107825380855,0.942094528334074,-0.41946000247419163,8.687616945325004,-3.6441078253808548,9.420945283340739,0.00016014754398897704,160147.54398897704,160147543.98897704,-3.7954797172575034,573.6654566933228,1.618033988749895,0.38196601125010515
-0.372,0.8683977494298114,-0.3634793621824483,0.9413989047939885,-0.4185632245374983,8.683977494298114,-3.6347936218244827,9.413989047939884,0.00015487244281015377,154872.44281015376,154872442.81015378,-3.810025851447893,554.7694858187309,1.618033988749895,0.38196601125010515
-0.371,0.8680347359292953,-0.3625475783474792,0.9407045494444379,-0.4176648276170023,8.680347359292952,-3.625475783474792,9.407045494444379,0.00014978377633747037,149783.77633747036,149783776.33747038,-3.824535224211189,536.5413437985644,1.618033988749895,0.38196601125010515
-0.37,0.8676726543939656,-0.361615431964962,0.9400114657908573,-0.41676481347396593,8.676726543939655,-3.6161543196496195,9.400114657908572,0.0001448745770910206,144874.57709102062,144874577.0910206,-3.839007818792311,518.9560723821826,1.618033988749895,0.38196601125010515
-0.369,0.8673115051859038,-0.36068292396704293,0.939319657342086,-0.4158631838853935,8.673115051859037,-3.606829239670429,9.393196573420859,0.00014013815050755,140138.15050755,140138150.50755,-3.853443618465575,501.9896909352833,1.618033988749895,0.38196601125010515
-0.368,0.8669512886662591,-0.35975005528622994,0.938629127610332,-0.41495994064404584,8.669512886662591,-3.597500552862299,9.38629127610332,0.00013556806380564282,135568.06380564283,135568063.8056428,-3.8678426065347367,485.61915655382495,1.618033988749895,0.38196601125010515
-0.367,0.866592005195248,-0.3588168268553916,0.9379398801111364,-0.41405508555845516,8.66592005195248,-3.588168268553916,9.379398801111364,0.00013115813532189267,131158.13532189268,131158135.32189266,-3.8822047663330257,469.8223258650599,1.618033988749895,0.38196601125010515
-0.366,0.866233655132154,-0.3578832396077564,0.9372519183633364,-0.4131486204529391,8.66233655132154,-3.578832396077564,9.372519183633363,0.000126902424297481,126902.42429748099,126902424.29748099,-3.89653008122317,454.5779184419778,1.618033988749895,0.38196601125010515
