p,RSS_profile,LR_profile,threshold_95
0.99325,2.1240070439604395e-05,92.04096035004193,3.841458820694124
0.9933,2.0961149228936335e-05,91.84267797265368,3.841458820694124
0.99335,2.068408512868254e-05,91.64308621208673,3.841458820694124
0.9934,2.040887794641892e-05,91.44216765352812,3.841458820694124
0.9934499999999999,2.0135527489761133e-05,91.23990453324738,3.841458820694124
0.9935,1.986403356617721e-05,91.03627872909404,3.841458820694124
0.99355,1.959439598325007e-05,90.83127175101266,3.841458820694124
0.9936,1.9326614548448166e-05,90.62486473086419,3.841458820694124
0.99365,1.9060689069368795e-05,90.41703841226315,3.841458820694124
0.9937,1.879661935362267e-05,90.20777313978866,3.841458820694124
0.99375,1.853440520884977e-05,89.99704884792392,3.841458820694124
0.9938,1.8274046442489264e-05,89.78484504940924,3.841458820694124
0.99385,1.8015542862217502e-05,89.57114082373312,3.841458820694124
0.9939,1.77588942756227e-05,89.35591480459038,3.841458820694124
0.99395,1.750410049032194e-05,89.13914516725964,3.841458820694124
0.994,1.7251161313893634e-05,88.920809615373,3.841458820694124
0.99405,1.7000076554049913e-05,88.70088536741727,3.841458820694124
0.9941,1.6750846018401284e-05,88.47934914238749,3.841458820694124
0.99415,1.6503469514541142e-05,88.2561771451954,3.841458820694124
0.9942,1.625794685000009e-05,88.03134505142368,3.841458820694124
0.99425,1.6014277832669725e-05,87.80482799195167,3.841458820694124
0.9943,1.577246227006244e-05,87.57660053592066,3.841458820694124
0.99435,1.553249996987649e-05,87.3466366742799,3.841458820694124
0.9944,1.5294390739884885e-05,87.11490980207437,3.841458820694124
0.99445,1.5058134387616014e-05,86.88139269984201,3.841458820694124
0.9944999999999999,1.4823730720829262e-05,86.64605751508097,3.841458820694124
0.99455,1.4591179547270599e-05,86.40887574228384,3.841458820694124
0.9946,1.4360480674627657e-05,86.16981820238527,3.841458820694124
0.99465,1.4131633910549138e-05,85.9288550214651,3.841458820694124
0.9947,1.390463906280627e-05,85.68595560875943,3.841458820694124
0.99475,1.3679495939157157e-05,85.44108863347572,3.841458820694124
0.9948,1.3456204347287636e-05,85.19422200074897,3.841458820694124
0.99485,1.3234764094952895e-05,84.94532282684332,3.841458820694124
0.9949,1.301517498998023e-05,84.69435741318648,3.841458820694124
0.99495,1.2797436839998168e-05,84.44129121901021,3.841458820694124
0.995,1.2581549452917498e-05,84.18608883372816,3.841458820694124
0.99505,1.2367512636389434e-05,83.92871394694733,3.841458820694124
0.9951,1.2155326198257544e-05,83.6691293183954,3.841458820694124
0.99515,1.194498994632275e-05,83.40729674573534,3.841458820694124
0.9952,1.1736503688319871e-05,83.14317703124578,3.841458820694124
0.99525,1.1529867232177016e-05,82.8767299474203,3.841458820694124
0.9953,1.1325080385574529e-05,82.60791420015326,3.841458820694124
0.99535,1.1122142956426527e-05,82.33668739150615,3.841458820694124
0.9954,1.0921054752525536e-05,82.06300597970679,3.841458820694124
0.99545,1.0721815581700917e-05,81.78682523803757,3.841458820694124
0.9955,1.0524425251797544e-05,81.50809921161738,3.841458820694124
0.99555,1.0328883570709347e-05,81.22678067228388,3.841458820694124
0.9956,1.013519034622625e-05,80.94282107112011,3.841458820694124
0.99565,9.94334538631216e-06,80.65617048940463,3.841458820694124
0.9957,9.753348498726457e-06,80.36677758627513,3.841458820694124
0.99575,9.56519949142202e-06,80.07458954508691,3.841458820694124
0.9958,9.378898172299434e-06,79.7795520162168,3.841458820694124
0.99585,9.194444349214764e-06,79.48160905748972,3.841458820694124
0.9959,9.011837830081867e-06,79.18070307185718,3.841458820694124
0.99595,8.831078422830054e-06,78.87677474177352,3.841458820694124
0.996,8.652165935367853e-06,78.56976296031512,3.841458820694124
0.99605,8.475100175694242e-06,78.25960475909856,3.841458820694124
0.9961,8.299880951628762e-06,77.94623523187147,3.841458820694124
0.99615,8.126508071166144e-06,77.62958745530807,3.841458820694124
0.9962,7.954981342274654e-06,77.30959240471114,3.841458820694124
0.99625,7.785300572875428e-06,76.98617886563298,3.841458820694124
0.9963,7.617465570971527e-06,76.65927334112686,3.841458820694124
0.99635,7.451476144519621e-06,76.32879995355901,3.841458820694124
0.9964,7.287332101500193e-06,75.99468034152422,3.841458820694124
0.99645,7.125033249932002e-06,75.65683355104925,3.841458820694124
0.9964999999999999,6.96457939780246e-06,75.31517592063923,3.841458820694124
0.99655,6.805970353071428e-06,74.96962096008978,3.841458820694124
0.9966,6.649205923747068e-06,74.6200792226597,3.841458820694124
0.99665,6.494285917945779e-06,74.26645816996957,3.841458820694124
0.9967,6.341210143631625e-06,73.90866202840675,3.841458820694124
