theta_rad,theta_deg,xp_A,yp_A,d_A,k,A,B,C,G,lambda,S0,xi0,xi1,f,beta,delta,exponent,tau_p_s,Omega_rad_s,nu_tunnel_Hz
0.049567350756638984,2.8400000000000016,0.9012282096316555,0.24954705606200805,0.9351395719490724,0.27689663216822896,0.9987725446177942,0.5012274553822059,0.07422930283579876,0.9969140759087122,0.4972403729009203,1.277886208492545,0.9189884518411805,-0.21784670494809213,7.663172702885915,0.10446052780890419,9.351395719490723,167.63789527902077,4.807901716056277e+58,6.534228108487026e-59,1.0399547027557156e-59
0.04991641660703783,2.8600000000000003,0.9012455656652198,0.24989569016070806,0.9352493921901894,0.27727813559477227,0.9987552100516934,0.5012447899483068,0.07475031270330212,0.9967705339412765,0.49721589163474705,1.277886208492545,0.9188312147514417,-0.21787125540870794,7.6671832455449325,0.1044579536550323,9.352493921901894,167.76494403669767,5.460173826425464e+58,5.753649523730375e-59,9.157217625200186e-60
0.05026548245743667,2.879999999999999,0.9012630433939826,0.25024431817976955,0.9353594454374433,0.2776595800904004,0.998737754245325,0.5012622457546749,0.07527128613841114,0.9966265172262465,0.4971913406625091,1.277886208492545,0.9186739086463319,-0.2178957854297198,7.6711982292310115,0.10445535598840874,9.353594454374432,167.89221931714235,6.202342995034208e+58,5.065170784822851e-59,8.061469680092118e-60
0.050614548307835516,2.8999999999999977,0.9012806428158138,0.2505929400767133,0.9354697315951904,0.2780409654575535,0.9987201772071971,0.501279822792803,0.07579222288720969,0.9964820260688949,0.4971667200048708,1.277886208492545,0.9185165334742017,-0.21792029490440998,7.675217658858883,0.10445273482147867,9.354697315951904,168.01972143016587,7.046989875823431e+58,4.458063242531198e-59,7.095228016651232e-60
0.05096361415823436,2.9199999999999964,0.9012983639285693,0.25094155580906075,0.9355802505676292,0.27842229149874353,0.9987024789458763,0.5012975210541238,0.07631312269579957,0.996337060775459,0.4971420296825583,1.277886208492545,0.9183590891825151,-0.21794478372603782,7.679241539369176,0.10445009016673448,9.35580250567629,168.14745068653338,8.008482081861951e+58,3.9228315946476855e-59,6.243380392052414e-60
0.051312680008633316,2.9400000000000017,0.9013162067300898,0.25129016533433424,0.9356910022587986,0.2788035580165554,0.9986846594699884,0.5013153405300117,0.07683398531030064,0.996191621653142,0.49711726971635917,1.277886208492545,0.918201575717856,-0.21796925178784013,7.683269875728382,0.10444742203671592,9.356910022587986,168.2754073979644,9.10323170211643e+58,3.4510740321587087e-59,5.492554911941371e-60
0.05166174585903216,2.9600000000000004,0.9013341712182013,0.2516387686100566,0.9358019865725801,0.27918476481364657,0.9986667187882184,0.5013332812117814,0.07735481047685053,0.9960457090101111,0.49709244012712295,1.277886208492545,0.9180439930259322,-0.2179936989830319,7.687302672928853,0.1044447304440099,9.358019865725801,168.40359187713378,1.0349990455096068e+59,3.035358020106148e-59,4.830922329535221e-60
0.052010811709431004,2.979999999999999,0.9013522573907146,0.25198736559375157,0.9359132034126968,0.27956591169274797,0.9986486569093108,0.5013513430906892,0.07787559794160548,0.9958993231554963,0.49706754093576094,1.277886208492545,0.9178863410515837,-0.2180181252048069,7.691339935988716,0.10444201540125053,9.359132034126967,168.53200443767128,1.177018805617352e+59,2.6691099909334184e-59,4.248020487130175e-60
0.05235987755982985,2.999999999999998,0.9013704652454262,0.2523359562429438,0.9360246526827148,0.279946998456664,0.9986304738420682,0.5013695261579316,0.07839634745074003,0.9957524643993896,0.49704257216324604,1.277886208492545,0.9177286197387838,-0.21804253034633794,7.695381669951952,0.10443927692111903,9.360246526827147,168.6606453941647,1.3388320212951959e+59,2.3465174148961523e-59,3.7345984563193847e-60
0.05270894341022869,3.0199999999999965,0.9013887947801174,0.2526845405151585,0.9361363342860426,0.2803280249082725,0.9986121695953534,0.5013878304046467,0.07891705875044723,0.9956051330528437,0.4970175338306127,1.277886208492545,0.9175708290306491,-0.2180669143007774,7.699427879888257,0.10443651501634363,9.361363342860425,168.7895150621574,1.5232393627815592e+59,2.0624418790314012e-59,3.282478198875844e-60
